timestamp,order_id,status,user,sell_asset,buy_type,buy_quantity
2023-07-19,308465070,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1930 2023 Puzzle Piece Harley Quinn Bottom Left,ERC20,1.3
2023-07-19,308464996,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3398 2023 Puzzle Piece Harley Quinn Top Right,ERC20,3.33
2023-07-19,308464819,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3508 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308458566,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A669 2023 Puzzle Piece The Flash Top Left,ERC20,1.69
2023-07-19,308457149,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A264 2022 The Lantern Corps Epic Green Lantern/Sinestro #1,ERC20,25.0
2023-07-19,308456177,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A657 2023 Puzzle Piece Harley Quinn Top Right,ERC20,6.5
2023-07-19,308452895,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3297 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.67
2023-07-19,308451524,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A468 2023 Puzzle Piece The Flash Bottom Right,ERC20,2.99
2023-07-19,308448699,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3950 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308448674,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3699 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308448571,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3338 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308448403,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2250 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308447214,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A15950 2022 Shazam! Champions Pedro Peña,ERC20,1.25
2023-07-19,308447044,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A6614 2022 Shazam! Foil Editions Magic,ERC20,5.5
2023-07-19,308446729,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1950 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.0
2023-07-19,308446647,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1631 2023 Super-Speed Uncommon Jesse Quick,ERC20,1.0
2023-07-19,308446625,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1734 2023 Super-Speed Uncommon Jesse Quick,ERC20,1.0
2023-07-19,308446442,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1732 2023 Super-Speed Uncommon Black Racer,ERC20,1.0
2023-07-19,308446423,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1947 2023 Super-Speed Uncommon Black Racer,ERC20,1.0
2023-07-19,308446318,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1607 2023 Super-Speed Uncommon Johnny Quick,ERC20,1.0
2023-07-19,308446311,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A8684 2022 Inks Green Lantern,ERC20,1.0
2023-07-19,308445891,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A681 2023 Super-Speed Common Kid Flash,ERC20,1.11
2023-07-19,308445526,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1396 2023 Super-Speed Common Wonder Woman,ERC20,1.0
2023-07-19,308444890,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1045 2023 Super-Speed Uncommon Jesse Quick,ERC20,1.2
2023-07-19,308443844,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A8567 2022 Page 6 of Justice #9 (2007) Panel 2,ERC20,1.3
2023-07-19,308443713,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1051 2023 Super-Speed Superior Brightest Day,ERC20,2.49
2023-07-19,308443549,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1407 2023 Super-Speed Uncommon Jesse Quick,ERC20,1.0
2023-07-19,308443466,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1392 2023 Super-Speed Uncommon Superwoman,ERC20,1.0
2023-07-19,308443389,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1437 2023 Super-Speed Uncommon Inertia,ERC20,1.0
2023-07-19,308443329,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1593 2023 Puzzle Piece Harley Quinn Top Right,ERC20,3.3
2023-07-19,308442286,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A700 2023 Super-Speed Epic Superman,ERC20,7.25
2023-07-19,308442263,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A7146 2022 Page 6 of Justice #9 (2007) Panel 3,ERC20,1.5
2023-07-19,308440244,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A799 2023 Super-Speed Epic Superman,ERC20,7.0
2023-07-19,308440122,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1818 2023 Super-Speed Common Kid Flash,ERC20,1.0
2023-07-19,308439990,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1355 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.0
2023-07-19,308439926,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1316 2023 Super-Speed Uncommon Inertia,ERC20,1.0
2023-07-19,308438016,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A450 2023 Super-Speed Common Shazam!/Darla,ERC20,2.22
2023-07-19,308437945,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A373 2023 Super-Speed Epic Max Mercury,ERC20,7.5
2023-07-19,308437876,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A304 2023 Super-Speed Epic Kid Flash,ERC20,7.5
2023-07-19,308437742,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2313 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308437621,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2330 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.67
2023-07-19,308437493,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2325 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.0
2023-07-19,308436432,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2491 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.75
2023-07-19,308432982,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A521 2023 Super-Speed Superior Mazahs! vs. Johhny Quick,ERC20,2.0
2023-07-19,308432871,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A810 2023 Super-Speed Superior Brightest Day,ERC20,2.0
2023-07-19,308431969,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1887 2022 Justice League Common Crime Syndicate,ERC20,1.0
2023-07-19,308431810,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A857 2022 CH1 Rewards ""The Batman"" Completion Two-Face",ERC20,3.5
2023-07-19,308429891,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A473 2023 Super-Speed Superior Mazahs! vs. Johhny Quick,ERC20,2.0
2023-07-19,308429734,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A453 2023 Super-Speed Superior Mazahs! vs. Johhny Quick,ERC20,2.0
2023-07-19,308429657,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A751 2023 Super-Speed Superior Brightest Day,ERC20,2.0
2023-07-19,308427964,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2049 2022 The Lantern Corps Common Black Lantern Corps,ERC20,1.11
2023-07-19,308426697,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A239 2023 Super-Speed Superior Flashpoint,ERC20,2.0
